player_id,level,coins,powerup,enemy_hit,time_seconds,death_cause,win
73,Bowser Castle,104,Star,Piranha,74,None,1
4,World 2-1,51,Mushroom,Goomba,178,None,1
155,World 1-2,137,Mushroom,Piranha,268,Time,1
14,World 3-1,129,Star,Lakitu,296,None,1
66,World 1-2,79,Mushroom,Koopa,206,Hole,1
76,World 3-1,151,Fire Flower,Koopa,226,Lava,1
90,World 3-1,196,Star,Piranha,247,None,0
96,World 2-1,75,Star,Goomba,40,Lava,1
61,Bowser Castle,4,Fire Flower,Hammer Bro,289,Time,0
25,Bowser Castle,49,Fire Flower,Piranha,295,Time,1
15,World 2-1,193,Fire Flower,Hammer Bro,192,Hole,0
182,Bowser Castle,127,Star,Piranha,100,None,1
20,World 1-2,34,Star,Goomba,264,None,0
4,Bowser Castle,62,Star,Goomba,203,None,1
186,World 1-2,87,None,Piranha,123,None,1
144,World 1-1,196,Star,Hammer Bro,91,None,0
75,World 1-1,121,None,Lakitu,151,Lava,1
86,World 2-1,184,Mushroom,Lakitu,226,Enemy,0
176,Bowser Castle,146,Mushroom,Goomba,258,Time,1
86,Bowser Castle,52,Star,Hammer Bro,128,None,1
26,World 1-1,127,Fire Flower,Koopa,297,Enemy,1
193,World 3-1,23,None,Koopa,226,Lava,1
136,World 1-2,32,None,Goomba,295,Lava,1
81,Bowser Castle,103,Fire Flower,Piranha,79,Time,1
138,World 3-1,146,Mushroom,Piranha,125,Hole,0
197,Bowser Castle,164,Mushroom,Goomba,293,Hole,1
137,World 1-1,108,Fire Flower,Piranha,189,Time,0
117,Bowser Castle,43,Fire Flower,Lakitu,37,None,1
147,World 3-1,197,Fire Flower,Lakitu,216,Hole,1
83,World 2-1,160,None,Piranha,154,Lava,1
87,World 2-1,116,Mushroom,Goomba,200,Hole,1
85,World 2-1,35,Fire Flower,Piranha,152,Lava,0
182,World 2-1,65,Mushroom,Hammer Bro,210,Hole,1
97,World 1-1,50,Mushroom,Hammer Bro,129,Time,0
41,World 3-1,166,Mushroom,Lakitu,256,Enemy,0
195,Bowser Castle,157,Mushroom,Goomba,274,Hole,0
125,World 1-1,14,Star,Koopa,73,Time,1
61,World 1-1,11,Star,Goomba,272,Enemy,1
39,World 2-1,23,Fire Flower,Lakitu,250,Enemy,0
199,World 1-2,123,None,Lakitu,272,Time,1
195,World 1-2,90,Fire Flower,Koopa,297,Lava,1
45,World 3-1,16,Fire Flower,Piranha,82,Hole,1
160,World 2-1,76,Fire Flower,Koopa,289,Time,1
110,Bowser Castle,183,None,Piranha,200,Enemy,1
18,World 1-1,63,None,Hammer Bro,170,Enemy,0
126,World 2-1,30,Star,Lakitu,199,Hole,0
109,World 2-1,195,Mushroom,Koopa,137,Lava,0
121,World 1-2,128,Mushroom,Piranha,216,None,1
77,Bowser Castle,159,Mushroom,Goomba,292,Enemy,1
151,World 1-2,113,Star,Koopa,175,Hole,1
68,World 2-1,129,Mushroom,Hammer Bro,48,Enemy,1
131,World 3-1,50,Star,Koopa,183,None,1
192,World 2-1,67,Fire Flower,Koopa,162,None,1
11,World 2-1,23,Fire Flower,Goomba,93,Enemy,1
70,World 1-1,188,Star,Goomba,126,Hole,0
74,World 1-2,162,Mushroom,Piranha,87,Lava,0
5,World 3-1,90,None,Koopa,225,Enemy,0
63,Bowser Castle,0,None,Hammer Bro,168,None,0
28,World 3-1,127,Star,Goomba,135,Enemy,0
199,World 1-1,119,Star,Piranha,110,Hole,1
53,World 2-1,154,None,Goomba,220,Lava,0
94,World 3-1,121,Mushroom,Koopa,267,Hole,1
182,World 2-1,43,Fire Flower,Lakitu,238,Enemy,0
63,World 1-1,197,Mushroom,Hammer Bro,159,None,1
30,Bowser Castle,24,Star,Goomba,250,Lava,1
75,World 1-1,29,Fire Flower,Koopa,280,Enemy,1
118,World 1-1,117,Star,Koopa,141,Lava,0
124,World 1-1,70,Fire Flower,Piranha,167,Enemy,1
52,World 2-1,102,None,Goomba,82,Lava,1
168,World 1-2,189,Fire Flower,Piranha,167,Lava,0
153,World 2-1,107,Mushroom,Goomba,161,Hole,1
61,World 3-1,62,None,Lakitu,121,Time,1
77,World 2-1,45,Star,Hammer Bro,277,Enemy,0
112,World 2-1,169,Fire Flower,Hammer Bro,98,None,1
18,World 1-1,25,Fire Flower,Lakitu,242,None,1
30,Bowser Castle,65,None,Lakitu,209,Time,0
105,World 2-1,171,Fire Flower,Lakitu,268,None,0
50,World 1-2,172,Fire Flower,Piranha,80,Hole,1
86,World 1-1,118,Star,Goomba,114,Lava,0
48,World 3-1,87,None,Lakitu,263,None,1
101,Bowser Castle,59,None,Hammer Bro,120,Hole,0
124,Bowser Castle,162,None,Koopa,85,Lava,0
55,Bowser Castle,160,Mushroom,Piranha,241,Enemy,0
159,World 3-1,39,Mushroom,Koopa,91,Time,1
95,World 1-1,95,Mushroom,Goomba,286,None,1
84,Bowser Castle,117,Star,Piranha,120,Enemy,1
8,Bowser Castle,12,Star,Piranha,129,Time,0
126,World 2-1,177,Star,Lakitu,265,None,1
192,Bowser Castle,62,None,Lakitu,157,Enemy,0
97,Bowser Castle,15,Star,Goomba,66,Time,0
3,World 2-1,67,Fire Flower,Lakitu,88,Enemy,1
131,World 1-2,11,Fire Flower,Lakitu,235,Time,1
5,World 1-2,17,Fire Flower,Goomba,266,None,1
194,World 3-1,9,Fire Flower,Goomba,196,Hole,0
151,World 1-1,90,Fire Flower,Lakitu,145,Time,1
180,World 1-2,11,Mushroom,Koopa,276,None,1
85,World 1-2,47,Fire Flower,Goomba,110,Time,1
134,Bowser Castle,102,None,Koopa,127,None,0
195,World 1-1,20,Fire Flower,Lakitu,97,Lava,0
106,Bowser Castle,116,Mushroom,Koopa,145,Lava,1
101,World 2-1,94,Fire Flower,Goomba,216,Lava,1
137,World 3-1,121,Mushroom,Goomba,273,None,1
197,World 3-1,193,Fire Flower,Koopa,86,Enemy,1
53,World 2-1,183,Mushroom,Lakitu,249,Hole,1
186,World 1-1,80,None,Lakitu,129,Hole,0
121,World 1-2,144,None,Hammer Bro,125,Enemy,0
71,World 3-1,74,None,Koopa,230,None,1
11,World 3-1,185,Star,Piranha,215,Time,0
33,Bowser Castle,112,Star,Piranha,247,Time,1
146,World 1-1,68,None,Lakitu,110,None,0
163,World 1-2,101,None,Lakitu,256,Time,0
111,World 3-1,145,Star,Hammer Bro,253,None,1
31,World 1-2,34,Star,Hammer Bro,38,Enemy,0
171,World 1-1,168,Fire Flower,Piranha,280,None,0
169,Bowser Castle,166,Mushroom,Hammer Bro,280,Hole,0
98,World 1-2,70,Mushroom,Koopa,176,Time,0
48,World 1-1,150,Star,Koopa,153,Hole,1
72,World 3-1,14,Mushroom,Goomba,151,Lava,1
100,World 2-1,156,Star,Koopa,92,Enemy,0
165,World 2-1,74,Mushroom,Piranha,196,Lava,0
117,World 2-1,22,Star,Piranha,117,None,1
78,World 2-1,93,None,Hammer Bro,173,None,0
153,World 2-1,35,Fire Flower,Goomba,261,Time,1
185,World 1-1,155,Star,Piranha,254,Time,1
10,World 3-1,126,Mushroom,Hammer Bro,281,Hole,1
84,World 2-1,142,None,Hammer Bro,70,Enemy,1
172,World 1-1,51,Fire Flower,Piranha,56,Hole,0
176,World 3-1,26,Star,Lakitu,87,Time,1
82,Bowser Castle,178,None,Lakitu,38,Hole,1
22,World 2-1,149,Star,Piranha,111,Time,1
118,World 2-1,95,None,Koopa,265,None,1
104,World 1-2,30,Mushroom,Goomba,219,Hole,0
167,Bowser Castle,102,Mushroom,Lakitu,279,Hole,1
175,World 2-1,101,Mushroom,Koopa,64,Time,1
85,World 3-1,190,Mushroom,Goomba,104,Hole,0
111,Bowser Castle,37,Fire Flower,Koopa,168,Enemy,1
